time,node,obj,bestbound
1.2847302515689e13,543.0,1133.94,1094.14
1.2847303305112e13,544.0,1133.94,1094.14
1.2847304028172e13,545.0,1133.94,1094.14
1.2847304770923e13,546.0,1133.94,1094.14
1.2847305448405e13,549.0,1133.94,1094.14
1.2847306133908e13,550.0,1133.94,1094.14
1.2847306806285e13,553.0,1133.94,1095.29
1.2847307493612e13,554.0,1133.94,1095.29
1.2847308203181e13,555.0,1133.94,1095.29
1.2847308953224e13,557.0,1133.94,1095.29
1.2847309719676e13,559.0,1133.94,1095.29
1.2847310493055e13,560.0,1133.94,1095.29
1.2847311187675e13,561.0,1133.94,1095.29
1.2847312032522e13,565.0,1133.94,1095.29
1.2847312766521e13,566.0,1133.94,1095.29
1.2847313518023e13,567.0,1133.94,1095.29
1.2847314649468e13,568.0,1133.94,1095.29
1.2847315433057e13,569.0,1133.94,1095.29
1.2847316324577e13,570.0,1133.94,1095.29
1.2847318138244e13,571.0,1133.94,1095.29
1.2847319439972e13,572.0,1133.94,1095.29
1.2847320703414e13,573.0,1133.94,1095.29
1.2847321441789e13,577.0,1133.94,1095.29
1.2847322069681e13,579.0,1133.94,1095.29
1.2847322837226e13,580.0,1133.94,1095.29
1.2847323456003e13,581.0,1133.94,1095.29
1.2847324731842e13,582.0,1133.94,1095.29
1.2847325551165e13,583.0,1133.94,1095.29
1.2847326322721e13,584.0,1133.94,1095.29
1.2847327045052e13,587.0,1133.94,1095.29
1.2847327756444e13,588.0,1133.94,1095.29
1.2847328471848e13,589.0,1133.94,1095.29
1.2847329482966e13,590.0,1133.94,1095.29
1.2847330801466e13,592.0,1133.94,1095.29
1.2847331886969e13,594.0,1133.94,1095.29
1.2847332602737e13,595.0,1133.94,1095.29
1.2847333626981e13,598.0,1133.94,1095.29
1.2847350333581e13,599.0,1133.94,1095.29
1.2847351094928e13,600.0,1133.94,1095.56
1.2847351800486e13,601.0,1133.94,1095.56
1.2847352443328e13,604.0,1133.94,1095.56
1.2847353087264e13,605.0,1133.94,1095.56
1.2847353751619e13,609.0,1133.94,1095.56
1.2847354449155e13,610.0,1133.94,1095.56
1.284735505991e13,611.0,1133.94,1095.56
1.2847355854803e13,614.0,1133.94,1095.56
1.2847356754708e13,615.0,1133.94,1095.56
1.2847357467195e13,618.0,1133.94,1095.56
1.2847358545769e13,619.0,1133.94,1095.56
1.284735958314e13,620.0,1133.94,1095.56
1.2847360457522e13,621.0,1133.94,1095.56
1.2847361109115e13,622.0,1133.94,1095.56
1.2847361990425e13,623.0,1133.94,1095.56
1.2847362696348e13,624.0,1133.94,1095.56
1.2847363389144e13,625.0,1133.94,1095.56
1.2847364153043e13,626.0,1133.94,1095.56
1.2847364769632e13,627.0,1133.94,1095.56
1.2847365489775e13,628.0,1133.94,1095.56
1.2847366132253e13,629.0,1133.94,1095.56
1.2847366967255e13,630.0,1133.94,1095.56
1.2847367760689e13,631.0,1133.94,1095.56
1.2847368648197e13,635.0,1133.94,1095.56
1.28473694234e13,636.0,1133.94,1095.56
1.2847370212094e13,637.0,1133.94,1095.56
1.284737099313e13,638.0,1133.94,1095.56
1.2847371633055e13,639.0,1133.94,1095.56
1.2847372874984e13,641.0,1133.94,1095.56
1.284737405055e13,642.0,1133.94,1095.56
1.2847374925661e13,645.0,1133.94,1095.56
1.2847375708156e13,646.0,1133.94,1095.56
1.2847376636138e13,647.0,1133.94,1095.56
1.2847377665852e13,648.0,1133.94,1095.56
1.2847378722549e13,649.0,1133.94,1095.56
1.2847379872226e13,650.0,1133.94,1095.56
1.2847380567939e13,651.0,1133.94,1095.56
1.2847381321629e13,652.0,1133.94,1095.56
1.2847382037397e13,653.0,1133.94,1095.56
1.2847382754623e13,654.0,1133.94,1098.07
1.2847383389808e13,655.0,1133.94,1098.07
1.2847386158441e13,658.0,1133.94,1098.07
1.2847387025894e13,659.0,1133.94,1098.07
1.2847388257249e13,661.0,1133.94,1098.07
1.2847389173198e13,663.0,1133.94,1098.07
1.284739132743e13,664.0,1133.94,1098.07
1.2847394392507e13,665.0,1133.94,1098.07
1.2847395135257e13,666.0,1133.94,1098.07
1.2847396085482e13,667.0,1133.94,1098.07
1.2847396888761e13,670.0,1133.94,1098.07
1.2847400574437e13,671.0,1133.94,1098.07
1.2847401734324e13,674.0,1133.94,1098.07
1.2847402644804e13,675.0,1133.94,1098.07
1.2847403550544e13,676.0,1133.94,1098.07
1.2847404412164e13,679.0,1133.94,1098.07
1.2847405229663e13,683.0,1133.94,1098.07
1.2847405901311e13,684.0,1133.94,1098.07
1.2847406715164e13,685.0,1133.94,1098.24
1.2847407440048e13,686.0,1133.94,1098.24
1.284740810258e13,687.0,1133.94,1098.24
1.2847408898202e13,688.0,1133.94,1098.24
1.2847409669393e13,690.0,1133.94,1098.24
1.284741114979e13,691.0,1133.94,1098.24
1.2847411786798e13,692.0,1133.94,1098.24
1.284741260685e13,693.0,1133.94,1098.24
1.2847413458989e13,697.0,1133.94,1098.24
1.2847414355978e13,698.0,1133.94,1098.24
1.2847417397354e13,699.0,1133.94,1098.24
1.2847434449257e13,701.0,1133.94,1098.33
1.2847435239045e13,703.0,1133.94,1098.33
1.2847436074776e13,704.0,1133.94,1098.33
1.2847436744236e13,705.0,1133.94,1098.37
1.284743755809e13,706.0,1133.94,1098.37
1.2847438452891e13,707.0,1133.94,1098.37
1.284743951688e13,708.0,1133.94,1098.37
1.284744021551e13,709.0,1133.94,1098.37
1.2847440886429e13,710.0,1133.94,1098.37
1.2847441831184e13,711.0,1133.94,1098.37
1.2847442527991e13,712.0,1133.94,1098.37
1.284744324303e13,713.0,1133.94,1098.37
1.2847444339107e13,714.0,1133.94,1098.37
1.284744511832e13,715.0,1133.94,1098.37
1.2847445931079e13,716.0,1133.94,1098.37
1.2847446597258e13,717.0,1133.94,1098.37
1.2847447281303e13,718.0,1133.94,1098.37
1.2847448129431e13,719.0,1133.94,1098.37
1.2847448868171e13,721.0,1133.94,1098.37
1.2847449550028e13,722.0,1133.94,1098.37
1.2847450226781e13,723.0,1133.94,1098.37
1.2847451944916e13,724.0,1133.94,1098.37
1.2847452908267e13,725.0,1133.94,1098.37
1.2847453572622e13,726.0,1133.94,1098.37
1.2847454221663e13,727.0,1133.94,1098.37
