0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
12.653;-0.148131869;-0.202514032;-0.014220168;-0.783785063;-0.107538203;-0.287056802;-0.422186275;-0.108793141;-0.062660767;-0.247422944;-1.010733215;-0.003036359;-0.399233926;-0.050881767;-0.407336116;-0.00102589;-0.00171343;-0.000388222;-0.146015462;-0.026622024
13.251;-0.148131862;-0.198174998;-0.014220167;-0.722150432;-0.107538202;-0.287056849;-0.422186297;-0.108793126;-0.062660767;-0.247422945;-1.010733173;-0.00303635;-0.399233904;-0.050881767;-0.407335981;-0.00102589;-0.00171343;-0.000388233;-0.146015463;-0.026622022
13.877;-0.148131879;-0.194260607;-0.014220167;-0.660165178;-0.10753824;-0.287056566;-0.42218628;-0.108793165;-0.062660767;-0.247422945;-1.010733203;-0.003036362;-0.399233911;-0.050881767;-0.407336034;-0.001025883;-0.00171343;-0.000388261;-0.146015463;-0.026622021
14.532;-0.148131873;-0.190289095;-0.014220164;-0.599181271;-0.107538222;-0.28705682;-0.422186289;-0.108793165;-0.062660767;-0.247422945;-1.010733151;-0.003036373;-0.399233928;-0.050881767;-0.407335592;-0.001025917;-0.00171343;-0.000388228;-0.146015461;-0.026622022
15.218;-0.148131874;-0.185065536;-0.014220167;-0.538817221;-0.107538209;-0.287056847;-0.422186276;-0.108793165;-0.062660767;-0.247422945;-1.010733219;-0.003036361;-0.399233929;-0.05088176;-0.407336132;-0.001025906;-0.00171343;-0.000388262;-0.146015462;-0.026622021
15.937;-0.148131862;-0.180557015;-0.014220166;-0.479788869;-0.107538222;-0.287056841;-0.422186288;-0.108793165;-0.062660774;-0.247422945;-1.010733015;-0.003036366;-0.39923393;-0.050881764;-0.407336143;-0.001025895;-0.00171343;-0.00038826;-0.146015462;-0.026622021
16.69;-0.148131862;-0.174336592;-0.014220168;-0.422266904;-0.107538219;-0.287056835;-0.422186295;-0.108793165;-0.062660767;-0.247422945;-1.01073322;-0.003036315;-0.399233733;-0.050881766;-0.407336141;-0.00102589;-0.001713424;-0.000388262;-0.146015462;-0.026622023
17.478;-0.148131867;-0.154377303;-0.014220168;-0.367035965;-0.107538229;-0.287056837;-0.422186278;-0.108793165;-0.062660774;-0.247422945;-1.010733218;-0.003036324;-0.399233787;-0.050881767;-0.407336143;-0.001026023;-0.00171343;-0.000388259;-0.146015462;-0.02662204
18.303;-0.148131867;-0.132807672;-0.014220169;-0.315466184;-0.10753822;-0.287056828;-0.422186279;-0.108793165;-0.062660773;-0.247422945;-1.010733148;-0.003036346;-0.39923393;-0.050881649;-0.407336139;-0.001025884;-0.00171343;-0.000388261;-0.146015462;-0.026622021
19.167;-0.148131862;-0.110727078;-0.014220168;-0.267517797;-0.107538201;-0.287056824;-0.422186295;-0.108793158;-0.062660769;-0.247422944;-1.010733174;-0.003036361;-0.39923393;-0.050881767;-0.407336137;-0.001025886;-0.00171343;-0.000388261;-0.146015462;-0.026622021
20.073;-0.148131866;-0.088001102;-0.014220169;-0.223782856;-0.107538199;-0.287056828;-0.422186296;-0.108793165;-0.062660768;-0.247422945;-1.0107332;-0.003036363;-0.399233828;-0.050881767;-0.407336122;-0.001025883;-0.00171343;-0.000388261;-0.146015462;-0.026622021
21.021;-0.148131863;-0.065041645;-0.014220168;-0.185789195;-0.1075382;-0.287056846;-0.422186297;-0.108793165;-0.062660768;-0.247422945;-1.010733201;-0.003036366;-0.399233929;-0.050881767;-0.407335557;-0.001025882;-0.001713428;-0.000388261;-0.146015462;-0.026622045
22.013;-0.148131863;-0.04152153;-0.014220171;-0.154430612;-0.107538301;-0.287056849;-0.422186297;-0.108793165;-0.062660769;-0.247422945;-1.010733021;-0.003036366;-0.399233913;-0.050881765;-0.407336142;-0.001025944;-0.00171343;-0.000388259;-0.146015461;-0.026622043
